weight_qld,weight_qqq,cagr,volatility,sharpe,sortino,max_drawdown,calmar,terminal_multiple
0.16,0.84,0.18342681233696623,0.25462579018805837,0.789117439947457,1.0242306756717874,-0.5963321547096545,0.3075916850840855,29.14536879689607
0.17,0.83,0.18444109928264463,0.25675717786467317,0.7880359756677846,1.0212239356606732,-0.600203035090586,0.30729784506139285,29.64965843132236
0.18,0.8200000000000001,0.18545166440752525,0.25889029950917486,0.7869715480308255,1.0182418286667057,-0.6040432740921955,0.30701718297623104,30.160334540185147
0.19,0.81,0.18645849462441255,0.2610251486440938,0.7859238112021366,1.0152837424295145,-0.6078530625172185,0.30674928880387237,30.677426159695575
0.2,0.8,0.18746157683432552,0.2631617193263811,0.7848924284474998,1.0123490817523286,-0.6116325903318824,0.30649376733278,31.200961244049886
0.21,0.79,0.1884608979264364,0.26530000612946947,0.7838770718584618,1.0094372682473165,-0.6153820466674871,0.30625023746958374,31.73096663528632
0.22,0.78,0.18945644477802315,0.2674400041261879,0.7828774220867314,1.006547740393432,-0.6191016198220104,0.3060183315826103,32.26746803300787
0.23,0.77,0.19044820425440157,0.2695817088724873,0.7818931680870688,1.003679956359731,-0.6227914972617268,0.3057976948814478,32.81048996396572
0.24,0.76,0.1914361632088919,0.2717251163919337,0.7809240068685269,1.0008333933745783,-0.626451865622802,0.3055879848303606,33.36005575154551
0.25,0.75,0.19242030848273406,0.2738702231609323,0.7799696432536921,0.9980075428746342,-0.6300829107129466,0.30538887059324954,33.916187485120666
0.26,0.74,0.19340062690504434,0.2760170260946433,0.7790297896457393,0.995201903191984,-0.6336848175130427,0.305200032508375,34.478905989337115
0.27,0.73,0.19437710529275298,0.2781655225335567,0.7781041658030595,0.9924159845865212,-0.6372577701787826,0.30502116159089043,35.04823079330944
0.28,0.72,0.19534973045053272,0.2803157102306935,0.7771924986212015,0.989649309045216,-0.6408019520423354,0.3048519590614897,35.62418009974498
0.29,0.71,0.19631848917073902,0.2824675873394005,0.7762945219218971,0.9869014113536763,-0.6443175456139993,0.30469213589963356,36.206770754024475
0.3,0.7,0.19728336823334014,0.2846211524017125,0.7754099762489862,0.9841718405416796,-0.6478047325838916,0.3045414124198169,36.79601821323772
0.31,0.69,0.19824435440585897,0.2867764043372523,0.7745386086709314,0.9814601579689746,-0.6512636938236007,0.3043995178695695,37.391936515202275
0.32,0.6799999999999999,0.19920143444328375,0.2889333424326442,0.7736801725898051,0.9787659375038341,-0.654694609387904,0.30426619004779015,37.99453824745473
0.33,0.6699999999999999,0.2001545950880126,0.2910919663314156,0.7728344275564767,0.9760887675398087,-0.6580976585164471,0.30414117494236664,38.603834516267604
0.34,0.6599999999999999,0.20110382306977215,0.29325227602436416,0.7720011390918101,0.9734282544224266,-0.6614730196354563,0.3040242263858354,39.219834915669615
0.35,0.65,0.20204910510554863,0.2954142718403686,0.7711800785136633,0.9707840346551948,-0.6648208703594436,0.30391510572811636,39.84254749651132
0.36,0.64,0.2029904278994925,0.29757795443762336,0.7703710227695205,0.9681557381556413,-0.668141387492947,0.30381358152526555,40.47197873556314
0.37,0.63,0.20392777814285878,0.29974332479527543,0.7695737542745484,0.965542987838972,-0.6714347470322415,0.3037194292434592,41.10813350470464
0.38,0.62,0.20486114251391996,0.30191038420544863,0.7687880607548828,0.9629454163371001,-0.6747011241670846,0.30363243097722725,41.751015040178835
0.39,0.61,0.20579050767787677,0.30407913426563377,0.7680137350960117,0.9603626656981213,-0.6779406932824577,0.3035523751811961,42.40062491194516
0.4,0.6,0.20671586028676914,0.30624957687143217,0.7672505751960133,0.9577943871103776,-0.6811536279603307,0.3034790564145801,43.056962993147785
0.41,0.5900000000000001,0.20763718697940248,0.3084217142096338,0.7664983838235678,0.9552402404845668,-0.6843401009814081,0.30341227509776386,43.7200274297283
0.42,0.5800000000000001,0.20855447438124974,0.3105955487516173,0.765756968480502,0.9526998734313668,-0.687500284326902,0.30335183728023507,44.38981461017316
0.43,0.5700000000000001,0.20946770910435641,0.3127710832470573,0.7650261412687678,0.9501729475316814,-0.6906343491803142,0.30329755441930323,45.06631913542863
0.44,0.56,0.2103768777472521,0.3149483207179257,0.7643057187616781,0.9476591407889549,-0.6937424659292093,0.30324924316903407,45.7495337890087
0.45,0.55,0.2112819668948529,0.3171272644527741,0.7635955218792472,0.9451581354022879,-0.6968248041670111,0.3032067251788213,46.439449507298214
0.46,0.54,0.21218296311835583,0.31930791800128683,0.7628953757675174,0.9426696340617404,-0.6998815326948046,0.3031698269010934,47.13605535007213
0.47,0.53,0.21307985297514942,0.3214902851690915,0.7622051096817248,0.9401933470530148,-0.7029128195231247,0.3031383794077175,47.839338471267126
0.48,0.52,0.213972623008706,0.32367437001281824,0.7615245568731716,0.9377289916556982,-0.7059188318737848,0.30311221821457707,48.549284089998416
0.49,0.51,0.21486125974847115,0.32586017683539553,0.7608535544796652,0.9352762916724905,-0.7088997361816847,0.3030911831139462,49.26587546185093
0.5,0.5,0.21574574970976568,0.32804771018157564,0.7601919434194361,0.9328349806779991,-0.7118556980966388,0.3030751180142648,49.989093850478056
0.51,0.49,0.21662607939366585,0.3302369748336774,0.7595395682883842,0.9304048079165451,-0.7147868824852099,0.30306387078689595,50.71891849949743
0.52,0.48,0.21750223528689716,0.3324279758075409,0.7588962772605463,0.9279855181040986,-0.7176934534325445,0.3030572931195617,51.45532660473413
0.53,0.47,0.21837420386171202,0.3346207183486835,0.7582619219916966,0.9255768628762996,-0.7205755742442225,0.30305524037607623,52.19829328680443
0.54,0.45999999999999996,0.21924197157577874,0.3368152079286507,0.7576363575259246,0.9231785990314342,-0.7234334074481059,0.3030575714621054,52.94779156408354
0.55,0.44999999999999996,0.22010552487206558,0.33901145024155416,0.757019442205162,0.920790486682647,-0.7262671147961897,0.30306414869663095,53.70379232606423
0.56,0.43999999999999995,0.22096485017870804,0.3412094512007894,0.7564110375814748,0.9184122913933735,-0.7290768572664807,0.3030748376888123,54.46626430711525
0.57,0.43000000000000005,0.22181993390887622,0.34340921693592796,0.7558110083320863,0.9160437840414404,-0.7318627950648624,0.3030895072200208,55.23517406067376
0.58,0.42000000000000004,0.2226707624606752,0.34561075378977585,0.755219222177038,0.9136847409254404,-0.7346250876269644,0.3031080291308337,56.01048593392243
0.59,0.41000000000000003,0.22351732221698506,0.34781406831559364,0.7546355497993403,0.9113349434087658,-0.7373638936200506,0.3031302782126178,56.7921620428882
0.6,0.4,0.22435959954533558,0.3500191672744723,0.7540598647676043,0.9089941777534428,-0.740079370944914,0.30315613210361353,57.58016224806758
0.61,0.39,0.2251975807977764,0.352226057632859,0.7534920434610198,0.9066622342113541,-0.7427716767377607,0.3031854711892623,58.37444413056551
0.62,0.38,0.22603125231073595,0.35443474656022805,0.7529319649966276,0.9043389038149734,-0.7454409673721181,0.30321817850655236,59.174962968759814
0.63,0.37,0.22686060040486966,0.35664524142689213,0.7523795111587755,0.9020239808668237,-0.748087398460735,0.30325413965220926,59.98167171551545
0.64,0.36,0.22768561138492505,0.3588575498019498,0.7518345663307505,0.8997172697156864,-0.7507111248574966,0.3032932426945789,60.794520975992626
0.65,0.35,0.22850627153958625,0.3610716794513629,0.7512970174284069,0.8974185788722521,-0.7533123006593457,0.30333537808898564,61.61345898603501
0.66,0.33999999999999997,0.2293225671413215,0.3632876383361629,0.7507667538358622,0.8951277224884032,-0.7558910792081988,0.30338043859644237,62.43843159118277
0.67,0.32999999999999996,0.23013448444624096,0.3655054346107788,0.7502436673430629,0.8928445188667652,-0.7584476130928769,0.30342831920556057,63.26938222633746
0.68,0.31999999999999995,0.23094200969392253,0.3677250766214862,0.7497276520852304,0.8905687902799606,-0.7609820541510375,0.30347891705746566,64.10625189605776
0.69,0.31000000000000005,0.23174512910725875,0.36994657290497096,0.7492186044841167,0.8883003628647167,-0.7634945534711202,0.3035321313736454,64.94897915556065
0.7,0.30000000000000004,0.23254382889229408,0.37216993218700684,0.748716423190991,0.8860390665284775,-0.7659852613942821,0.30358786338657084,65.79750009241916
0.71,0.29000000000000004,0.23333809523804683,0.3743951633812416,0.7482210090313063,0.8837847351757814,-0.7684543275163509,0.3036460162729475,66.65174830896733
0.72,0.28,0.23412791431635194,0.3766222755880901,0.7477322649510106,0.8815372063500566,-0.7709019006897817,0.30370649508953185,67.51165490547767
0.73,0.27,0.23491327228167513,0.3788512780937317,0.7472500959644173,0.8792963239288315,-0.7733281290256071,0.30376920671134217,68.37714846407412
0.74,0.26,0.23569415527094395,0.3810821803692071,0.7467744091036032,0.8770619327164056,-0.7757331598954115,0.30383405977220507,69.24815503345302
0.75,0.25,0.23647054940335543,0.3833149920696156,0.7463051133692882,0.8748338797717728,-0.7781171399332893,0.30390096460749966,70.1245981143882
0.76,0.24,0.2372424407801914,0.3855497230334071,0.7458421196831286,0.8726120152457004,-0.7804802150378343,0.30396983319902726,71.00639864607373
0.77,0.22999999999999998,0.23800981548464373,0.38778638328176873,0.7453853408414032,0.8703961925387828,-0.7828225303740967,0.30404057912194116,71.89347499333068
0.78,0.21999999999999997,0.23877265958160376,0.3900249830181027,0.7449346914700301,0.8681862684117249,-0.7851442303755815,0.30411311749356484,72.7857429346442
0.79,0.20999999999999996,0.23953095911747435,0.39226553262759445,0.7444900879808656,0.865982102338938,-0.7874454587462276,0.3041873649241131,73.68311565111756
0.8,0.19999999999999996,0.24028470011995906,0.39450804267686795,0.7440514485292716,0.8637835566452029,-0.7897263584624057,0.3042632394691656,74.58550371631283
0.81,0.18999999999999995,0.24103386859788056,0.3967525239137279,0.7436186929728885,0.8615904962303566,-0.7919870717749036,0.3043406605838972,75.49281508705647
0.82,0.18000000000000005,0.24177845054093572,0.3989989872669861,0.7431917428315655,0.8594027888901712,-0.7942277402109388,0.3044195490788597,76.40495509512428
0.83,0.17000000000000004,0.24251843191951994,0.40124744384637046,0.7427705212484543,0.8572203052416236,-0.7964485045761507,0.30449982707743545,77.32182643997774
0.84,0.16000000000000003,0.24325379868448493,0.40349790494251564,0.7423549529521772,0.8550429185206053,-0.7986495049566162,0.3045814179747082,78.24332918241257
0.85,0.15000000000000002,0.24398453676691956,0.40575038202703406,0.7419449642200674,0.8528705045168079,-0.8008308807208613,0.30466424639781486,79.16936073924589
0.86,0.14,0.24471063207793398,0.40800488675266544,0.741540482842451,0.8507029415105285,-0.8029927705218739,0.30474823816769087,80.09981587903563
0.87,0.13,0.2454320705084263,0.4102614309535045,0.7411414380879112,0.8485401102112516,-0.8051353122991238,0.30483332026212684,81.03458671882652
0.88,0.12,0.24614883792883502,0.41252002664530457,0.740747760669534,0.846381893697968,-0.8072586432805926,0.3049194207800843,81.9735627219433
0.89,0.10999999999999999,0.24686092018892136,0.41478068602585794,0.7403593827120769,0.8442281773612542,-0.8093628999847908,0.3050064689072853,82.91663069690934
0.9,0.09999999999999998,0.24756830311750155,0.41704342147544965,0.7399762377200685,0.84207884882491,-0.8114482182228008,0.3050943948829108,83.86367479739911
0.91,0.08999999999999997,0.24827097252221475,0.41930824555738666,0.7395982605467586,0.8399337979187829,-0.8135147331003009,0.30518312996748714,84.81457652335916
0.92,0.07999999999999996,0.24896891418926215,0.421575171018599,0.7392253873639495,0.8377929166385232,-0.8155625790196102,0.3052726064118198,85.7692147232279
0.93,0.06999999999999995,0.2496621138831452,0.4238442107903144,0.738857555632631,0.8356560990755633,-0.8175918896817298,0.3053627574269763,86.72746559730689
0.94,0.06000000000000005,0.25035055734641243,0.4261153779888042,0.7384947040744415,0.8335232413669531,-0.8196027980883804,0.30545351715528957,87.68920270231558
0.95,0.050000000000000044,0.25103423029937977,0.42838868591620155,0.7381367726438821,0.8313942416465182,-0.8215954365440629,0.30554482064229016,88.65429695709369
0.96,0.040000000000000036,0.251713118439852,0.43066414806138914,0.7377837025012973,0.8292689999973953,-0.8235699366581011,0.30563660380957886,89.62261664950822
0.97,0.030000000000000027,0.2523872074428646,0.4329417781009598,0.7374354359865908,0.827147418405958,-0.8255264293466966,0.30572880342861736,90.59402744460745
0.98,0.020000000000000018,0.25305648296037475,0.43522158990024473,0.7370919165936317,0.8250294007168609,-0.8274650448349901,0.30582135709531794,91.56839239393173
0.99,0.010000000000000009,0.25372093062098,0.43750359751441475,0.7367530889453694,0.8229148525894188,-0.8293859126591231,0.3059142032054975,92.54557194611253
1.0,0.0,0.2543805360296263,0.4397878151896487,0.7364188987696039,0.8208036814551563,-0.8312891616682943,0.3060072809311216,93.52542395871521
